c-values,percentage
0.2,0.0
0.4,0.0
0.6000000000000001,0.0
0.8,0.0
1.0,0.0
1.2,1.8
1.4,8.8
1.5999999999999999,26.0
1.7999999999999998,46.6
1.9999999999999998,70.6
2.1999999999999997,81.2
2.4,95.2
2.6,96.8
2.8000000000000003,98.6
3.0000000000000004,99.8
